"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Weapon","Post","District","Neighborhood","Location.1","Total.Incidents"
"616","09/18/2012",657,"1F","500 N GAY ST","HOMICIDE","FIREARM",315,"EASTERN","Oldtown","(39.29474, -76.60605)",1
"617","09/17/2012",2226,"1F","2800 CHESTERFIELD AV","HOMICIDE","FIREARM",415,"NORTHEASTERN","Herring Run Park","(39.32551, -76.57036)",1
"618","09/15/2012",1223,"1F","500 COVENTRY RD","HOMICIDE","FIREARM",833,"SOUTHWESTERN","Beechfield","(39.27915, -76.70025)",1
"619","09/08/2012",224,"1F","400 GOLD ST","HOMICIDE","FIREARM",135,"CENTRAL","Druid Heights","(39.30952, -76.63674)",1
"620","09/08/2012",2207,"1F","2600 KENT ST","HOMICIDE","FIREARM",922,"SOUTHERN","Westport","(39.26494, -76.63807)",1
"621","09/06/2012",1956,"1F","1400 HOLBROOK ST","HOMICIDE","FIREARM",313,"EASTERN","Oliver","(39.30649, -76.60314)",1
"622","09/04/2012",2340,"1F","5400 SEWARD AV","HOMICIDE","FIREARM",434,"NORTHEASTERN","Frankford","(39.32842, -76.53939)",1
"623","09/03/2012",1149,"1F","2700 BERYL AV","HOMICIDE","FIREARM",333,"EASTERN","Biddle Street","(39.30316, -76.57953)",1
"624","09/03/2012",1900,"1F","2600 BOONE ST","HOMICIDE","FIREARM",513,"NORTHERN","Better Waverly","(39.31967, -76.60866)",1
"625","09/03/2012",2215,"1F","200 S EATON ST","HOMICIDE","FIREARM",224,"SOUTHEASTERN","Highlandtown","(39.2902, -76.56556)",1
"626","09/03/2012",2222,"1F","5600 FRANKFORD AV","HOMICIDE","FIREARM",434,"NORTHEASTERN","Frankford","(39.3222, -76.54054)",1
"627","09/02/2012",218,"1F","4800 THE ALAMEDA","HOMICIDE","FIREARM",524,"NORTHERN","New Northwood","(39.34641, -76.59947)",1
"628","09/01/2012",146,"1F","1300 N LAKEWOOD AV","HOMICIDE","FIREARM",333,"EASTERN","Berea","(39.30598, -76.57995)",1
"629","08/30/2012",726,"1F","2900 ROCKROSE AV","HOMICIDE","FIREARM",612,"NORTHWESTERN","Park Circle","(39.32896, -76.66195)",1
"630","08/24/2012",1100,"1K","600 BRISBANE RD","HOMICIDE","KNIFE",833,"SOUTHWESTERN","Beechfield","(39.27341, -76.6942)",1
"631","08/23/2012",1629,"1F","4400 MOUNTVIEW RD","HOMICIDE","FIREARM",824,"SOUTHWESTERN","Uplands","(39.28663, -76.69041)",1
"632","08/23/2012",1852,"1O","100 W 29TH ST","HOMICIDE","OTHER",512,"NORTHERN","Charles Village","(39.32307, -76.61952)",1
